[addition] 22468 + 38614 | 61082
[reversing] 1 5 2 8 5 8 5 8 4 3 | 3 4 8 5 8 5 8 2 5 1
[relations] E203 is parent of E173. Who is the ancestor 1 of E173? | E203
[reversing] 5 2 8 1 0 2 1 0 2 | 2 0 1 2 0 1 8 2 5
[reversing] 6 1 9 5 5 3 3 4 | 4 3 3 5 5 9 1 6
[sorting] 3 5 6 6 2 8 0 7 8 6 1 | 0 1 2 3 5 6 6 6 7 8 8
[copying] PGTZRY | PGTZRYPGTZRYPGTZRY
[sorting] 3 7 7 0 9 4 | 0 3 4 7 7 9
[reversing] 6 2 7 6 5 7 0 4 3 2 | 2 3 4 0 7 5 6 7 2 6
[copying] VZY | VZYVZY
[sorting] 3 7 0 2 0 2 9 7 | 0 0 2 2 3 7 7 9
[relations] E765 is parent of E506. Who is the ancestor 1 of E506? | E765
[addition] 188 + 317 | 505
[addition] 905 + 9 | 914
[addition] 70 + 48 | 118
[reversing] 9 5 7 4 9 9 | 9 9 4 7 5 9
[copying] AXHJD | AXHJDAXHJD
[addition] 864 + 44 | 908
[reversing] 6 8 3 5 5 2 5 8 4 | 4 8 5 2 5 5 3 8 6
[copying] OTU | OTUOTUOTU
[relations] E644 is parent of E419. Who is the ancestor 1 of E419? | E644
[sorting] 8 0 3 6 3 5 | 0 3 3 5 6 8
[copying] JF | JFJFJF
[relations] E351 is parent of E243. Who is the ancestor 1 of E243? | E351
[relations] E582 is parent of E592. Who is the ancestor 1 of E592? | E582
[addition] 248 + 910 | 1158
[reversing] 3 3 6 1 8 9 8 3 2 3 6 | 6 3 2 3 8 9 8 1 6 3 3
[reversing] 3 1 4 2 | 2 4 1 3
[addition] 49 + 90 | 139
[reversing] 7 1 8 6 2 8 9 5 3 4 7 6 | 6 7 4 3 5 9 8 2 6 8 1 7
[sorting] 6 9 7 7 7 9 6 6 2 9 | 2 6 6 6 7 7 7 9 9 9
[sorting] 3 3 7 0 7 1 2 1 9 | 0 1 1 2 3 3 7 7 9
[reversing] 3 4 1 4 2 4 5 5 | 5 5 4 2 4 1 4 3
[copying] ON | ONONON
[sorting] 8 1 8 6 7 7 5 2 8 | 1 2 5 6 7 7 8 8 8
[reversing] 2 2 8 6 5 0 7 7 2 8 8 | 8 8 2 7 7 0 5 6 8 2 2
[reversing] 3 0 5 0 6 | 6 0 5 0 3
[relations] E546 is parent of E752. Who is the ancestor 1 of E752? | E546
[addition] 0 + 825 | 825
[sorting] 8 1 7 5 0 | 0 1 5 7 8
[copying] JVSXI | JVSXIJVSXIJVSXIJVSXI
[reversing] 4 5 1 8 6 1 0 4 1 6 6 | 6 6 1 4 0 1 6 8 1 5 4
[reversing] 7 3 5 | 5 3 7
[copying] SYAUY | SYAUYSYAUYSYAUY
[relations] E597 is parent of E759. E759 is parent of E647. Who is the ancestor 2 of E647? | E597
[copying] FRXKAS | FRXKASFRXKASFRXKAS
[copying] MQR | MQRMQRMQRMQR
[reversing] 4 1 6 4 3 4 8 6 1 | 1 6 8 4 3 4 6 1 4
[copying] POFGN | POFGNPOFGNPOFGN
[addition] 2 + 329 | 331
[copying] YLKD | YLKDYLKDYLKD
[sorting] 6 1 0 5 5 9 5 2 | 0 1 2 5 5 5 6 9
[reversing] 4 0 6 4 6 5 5 1 1 4 8 1 | 1 8 4 1 1 5 5 6 4 6 0 4
[addition] 553 + 67 | 620
[relations] E507 is parent of E954. E954 is parent of E929. Who is the ancestor 2 of E929? | E507
[copying] BV | BVBVBVBV
[sorting] 1 7 0 1 3 9 3 7 0 8 5 | 0 0 1 1 3 3 5 7 7 8 9
[reversing] 8 7 7 4 | 4 7 7 8
[relations] E764 is parent of E609. Who is the ancestor 1 of E609? | E764
[reversing] 2 9 2 8 7 0 4 8 | 8 4 0 7 8 2 9 2
[copying] NBYCCI | NBYCCINBYCCINBYCCI
[relations] E759 is parent of E216. E216 is parent of E518. Who is the ancestor 2 of E518? | E759
[copying] VQDXEL | VQDXELVQDXELVQDXELVQDXEL
[relations] E261 is parent of E765. Who is the ancestor 1 of E765? | E261
[relations] E331 is parent of E852. Who is the ancestor 1 of E852? | E331
[addition] 3 + 25 | 28
[copying] BEJFX | BEJFXBEJFX
[copying] VBPKNV | VBPKNVVBPKNVVBPKNV
[copying] TZJ | TZJTZJTZJTZJ
[copying] EBWSJW | EBWSJWEBWSJW
[relations] E510 is parent of E515. Who is the ancestor 1 of E515? | E510
[relations] E636 is parent of E603. E603 is parent of E251. Who is the ancestor 2 of E251? | E636
[relations] E229 is parent of E553. Who is the ancestor 1 of E553? | E229
[copying] UCUVWE | UCUVWEUCUVWE
[copying] ONU | ONUONU
[reversing] 5 9 7 8 0 4 7 1 3 3 9 | 9 3 3 1 7 4 0 8 7 9 5
[reversing] 1 4 6 3 0 0 9 1 3 5 | 5 3 1 9 0 0 3 6 4 1
[addition] 17 + 8 | 25
[copying] JGMWES | JGMWESJGMWESJGMWESJGMWES
[sorting] 3 4 7 5 4 2 1 0 5 | 0 1 2 3 4 4 5 5 7
[addition] 0 + 85 | 85
[relations] E920 is parent of E601. Who is the ancestor 1 of E601? | E920
[relations] E564 is parent of E445. E445 is parent of E770. Who is the ancestor 2 of E770? | E564
[sorting] 6 1 3 2 5 3 8 0 3 1 | 0 1 1 2 3 3 3 5 6 8
[addition] 97226 + 7792 | 105018
[sorting] 9 5 3 2 8 | 2 3 5 8 9
[addition] 37 + 4 | 41
[relations] E925 is parent of E575. E575 is parent of E109. Who is the ancestor 2 of E109? | E925
[addition] 28 + 83 | 111
[copying] APK | APKAPK
[sorting] 0 6 6 6 4 3 3 8 | 0 3 3 4 6 6 6 8
[relations] E991 is parent of E531. Who is the ancestor 1 of E531? | E991
[reversing] 6 0 9 3 | 3 9 0 6
[reversing] 2 8 3 1 8 4 1 2 9 | 9 2 1 4 8 1 3 8 2
[reversing] 3 7 1 4 6 4 4 3 7 | 7 3 4 4 6 4 1 7 3
[sorting] 9 8 4 2 5 | 2 4 5 8 9
[copying] ERD | ERDERDERDERD
[reversing] 4 5 1 2 7 9 | 9 7 2 1 5 4
[sorting] 2 1 3 4 8 6 | 1 2 3 4 6 8
[reversing] 3 0 0 4 2 2 3 8 5 9 7 | 7 9 5 8 3 2 2 4 0 0 3
[addition] 874 + 37 | 911
[sorting] 8 1 5 1 5 2 4 7 6 | 1 1 2 4 5 5 6 7 8
[reversing] 9 2 6 9 9 4 3 6 0 3 0 4 | 4 0 3 0 6 3 4 9 9 6 2 9
[copying] SSTQ | SSTQSSTQSSTQSSTQ
[reversing] 8 8 0 8 4 3 3 1 7 7 9 | 9 7 7 1 3 3 4 8 0 8 8
[addition] 17 + 13 | 30
[addition] 47 + 12 | 59
[sorting] 0 7 2 2 3 3 9 5 8 6 7 2 | 0 2 2 2 3 3 5 6 7 7 8 9
[addition] 0 + 13 | 13
[reversing] 1 9 9 3 2 9 7 2 3 5 | 5 3 2 7 9 2 3 9 9 1
[copying] HJO | HJOHJO
[relations] E621 is parent of E929. E929 is parent of E122. Who is the ancestor 2 of E122? | E621
[sorting] 8 9 8 3 | 3 8 8 9
[relations] E377 is parent of E343. E343 is parent of E766. Who is the ancestor 2 of E766? | E377
[addition] 715 + 855 | 1570
[sorting] 4 0 3 0 0 2 6 6 4 6 | 0 0 0 2 3 4 4 6 6 6
[addition] 37 + 98 | 135
[relations] E735 is parent of E588. Who is the ancestor 1 of E588? | E735
[sorting] 9 7 8 7 9 3 1 | 1 3 7 7 8 9 9
[copying] CPGQ | CPGQCPGQCPGQ
[relations] E206 is parent of E485. Who is the ancestor 1 of E485? | E206
[reversing] 5 2 2 3 | 3 2 2 5
[addition] 185 + 58 | 243
[addition] 2 + 69 | 71
[sorting] 5 9 6 1 2 0 8 0 8 | 0 0 1 2 5 6 8 8 9
[sorting] 4 9 8 4 6 0 9 3 6 3 6 | 0 3 3 4 4 6 6 6 8 9 9
[relations] E388 is parent of E505. Who is the ancestor 1 of E505? | E388
[sorting] 0 5 6 9 6 | 0 5 6 6 9
[reversing] 3 0 6 6 1 4 7 2 6 9 0 2 | 2 0 9 6 2 7 4 1 6 6 0 3
[addition] 18 + 642 | 660
[relations] E159 is parent of E635. E635 is parent of E462. Who is the ancestor 2 of E462? | E159
[relations] E269 is parent of E99. Who is the ancestor 1 of E99? | E269
[copying] OMZTC | OMZTCOMZTCOMZTC
[reversing] 4 0 4 1 9 4 4 | 4 4 9 1 4 0 4
[relations] E452 is parent of E391. E391 is parent of E588. Who is the ancestor 2 of E588? | E452
[sorting] 6 3 5 6 4 9 1 4 0 0 4 4 | 0 0 1 3 4 4 4 4 5 6 6 9
[copying] VKQTLU | VKQTLUVKQTLUVKQTLU
[addition] 779 + 323 | 1102
[sorting] 7 6 2 4 6 3 8 5 6 6 | 2 3 4 5 6 6 6 6 7 8
[copying] WIU | WIUWIUWIU
[copying] ZUY | ZUYZUYZUYZUY
[sorting] 8 6 1 0 2 | 0 1 2 6 8
[sorting] 3 9 5 6 | 3 5 6 9
[reversing] 1 6 3 3 5 8 5 4 | 4 5 8 5 3 3 6 1
[relations] E799 is parent of E662. E662 is parent of E329. Who is the ancestor 2 of E329? | E799
[reversing] 1 7 5 3 6 2 8 3 3 6 4 4 | 4 4 6 3 3 8 2 6 3 5 7 1
[relations] E798 is parent of E390. E390 is parent of E850. Who is the ancestor 2 of E850? | E798
[sorting] 0 7 3 5 0 1 8 3 7 | 0 0 1 3 3 5 7 7 8
[sorting] 2 3 3 8 2 7 | 2 2 3 3 7 8
[sorting] 7 9 3 9 6 7 5 6 6 9 | 3 5 6 6 6 7 7 9 9 9
[relations] E171 is parent of E352. Who is the ancestor 1 of E352? | E171
[relations] E104 is parent of E981. E981 is parent of E741. Who is the ancestor 2 of E741? | E104
[sorting] 6 1 5 3 2 9 2 | 1 2 2 3 5 6 9
[copying] ECXOF | ECXOFECXOFECXOFECXOF
[copying] NDOQFB | NDOQFBNDOQFBNDOQFBNDOQFB
[sorting] 7 1 1 2 9 5 0 6 3 0 | 0 0 1 1 2 3 5 6 7 9
[addition] 9 + 50229 | 50238
[reversing] 9 8 6 1 6 1 2 2 8 | 8 2 2 1 6 1 6 8 9
[copying] SKZVPH | SKZVPHSKZVPHSKZVPHSKZVPH
[reversing] 8 4 8 9 9 0 5 | 5 0 9 9 8 4 8
[copying] XR | XRXRXR
[addition] 0 + 92 | 92
[sorting] 8 9 5 6 5 9 1 0 | 0 1 5 5 6 8 9 9
[relations] E918 is parent of E959. E959 is parent of E374. Who is the ancestor 2 of E374? | E918
[sorting] 5 0 7 7 0 1 5 7 0 2 8 5 | 0 0 0 1 2 5 5 5 7 7 7 8
[addition] 36 + 17 | 53
[reversing] 2 6 2 9 6 4 5 5 0 | 0 5 5 4 6 9 2 6 2
[addition] 23 + 71 | 94
[reversing] 0 0 1 1 0 1 3 7 6 | 6 7 3 1 0 1 1 0 0
[sorting] 5 6 8 3 0 4 5 0 8 5 8 0 | 0 0 0 3 4 5 5 5 6 8 8 8
[relations] E209 is parent of E167. Who is the ancestor 1 of E167? | E209
[sorting] 5 2 2 8 1 | 1 2 2 5 8
[copying] CQQO | CQQOCQQOCQQO
[relations] E19 is parent of E324. E324 is parent of E448. Who is the ancestor 2 of E448? | E19
[addition] 3467 + 1 | 3468
[addition] 4 + 1 | 5
[addition] 8 + 52 | 60
[copying] PQREDF | PQREDFPQREDFPQREDFPQREDF
[relations] E971 is parent of E428. Who is the ancestor 1 of E428? | E971
[sorting] 1 9 3 4 8 1 8 4 | 1 1 3 4 4 8 8 9
[sorting] 7 7 6 4 0 | 0 4 6 7 7
[addition] 5 + 62 | 67
[sorting] 5 6 9 3 8 1 5 6 5 3 4 6 | 1 3 3 4 5 5 5 6 6 6 8 9
[relations] E686 is parent of E255. E255 is parent of E438. Who is the ancestor 2 of E438? | E686
[reversing] 0 8 9 2 | 2 9 8 0
[copying] HAJZK | HAJZKHAJZK
[relations] E640 is parent of E740. E740 is parent of E413. Who is the ancestor 2 of E413? | E640
[addition] 3 + 2 | 5
[sorting] 3 5 4 1 6 | 1 3 4 5 6
[sorting] 5 4 3 9 6 5 0 0 | 0 0 3 4 5 5 6 9
[relations] E1 is parent of E873. E873 is parent of E772. Who is the ancestor 2 of E772? | E1
[copying] MU | MUMUMU
[sorting] 3 6 9 3 2 7 9 2 5 7 5 0 | 0 2 2 3 3 5 5 6 7 7 9 9
[relations] E960 is parent of E30. Who is the ancestor 1 of E30? | E960
[addition] 9 + 553 | 562
[addition] 845 + 153 | 998
[sorting] 8 1 2 3 | 1 2 3 8
[copying] IPQO | IPQOIPQOIPQOIPQO
[copying] HASOAE | HASOAEHASOAE
[addition] 3 + 63077 | 63080
[sorting] 5 1 6 8 7 7 4 8 7 3 | 1 3 4 5 6 7 7 7 8 8
[sorting] 6 0 7 6 9 8 4 9 | 0 4 6 6 7 8 9 9
[sorting] 5 3 2 1 9 8 0 8 | 0 1 2 3 5 8 8 9
[copying] QTDFZV | QTDFZVQTDFZV
[relations] E48 is parent of E904. E904 is parent of E825. Who is the ancestor 2 of E825? | E48
[copying] DROR | DRORDRORDRORDROR
[sorting] 7 2 5 5 4 7 4 2 7 3 | 2 2 3 4 4 5 5 7 7 7
[sorting] 6 2 2 8 | 2 2 6 8
[reversing] 7 9 4 9 3 5 1 8 7 6 | 6 7 8 1 5 3 9 4 9 7
[sorting] 0 2 0 4 2 3 0 0 7 9 4 | 0 0 0 0 2 2 3 4 4 7 9
[copying] QTVU | QTVUQTVU
[relations] E286 is parent of E550. Who is the ancestor 1 of E550? | E286
[reversing] 7 4 6 6 9 8 3 | 3 8 9 6 6 4 7
[reversing] 0 8 0 1 3 5 9 3 5 | 5 3 9 5 3 1 0 8 0
[reversing] 5 2 2 | 2 2 5
[addition] 5 + 4 | 9
[copying] VOPNM | VOPNMVOPNMVOPNM
[relations] E315 is parent of E389. Who is the ancestor 1 of E389? | E315
[reversing] 5 2 3 | 3 2 5
[sorting] 3 7 6 9 6 8 0 0 5 4 | 0 0 3 4 5 6 6 7 8 9
[copying] IL | ILILIL
[copying] UWY | UWYUWY
[addition] 411 + 728 | 1139
[copying] DMAOND | DMAONDDMAOND
[copying] ZONAT | ZONATZONATZONATZONAT
[addition] 252 + 56 | 308
[relations] E547 is parent of E444. Who is the ancestor 1 of E444? | E547
[addition] 776 + 5 | 781
[reversing] 8 0 2 9 2 7 7 4 | 4 7 7 2 9 2 0 8
[addition] 42 + 749 | 791
[relations] E502 is parent of E197. Who is the ancestor 1 of E197? | E502
[addition] 8 + 18 | 26
[relations] E858 is parent of E664. E664 is parent of E187. Who is the ancestor 2 of E187? | E858
[reversing] 6 7 2 | 2 7 6
[relations] E628 is parent of E587. E587 is parent of E682. Who is the ancestor 2 of E682? | E628
[reversing] 2 1 1 5 5 0 0 8 8 7 1 0 | 0 1 7 8 8 0 0 5 5 1 1 2
[copying] UWC | UWCUWC
[addition] 93 + 7 | 100
[addition] 357 + 13 | 370
[addition] 27 + 767 | 794
[reversing] 1 3 2 5 2 | 2 5 2 3 1
[copying] MVCX | MVCXMVCX
[copying] VRXHE | VRXHEVRXHEVRXHEVRXHE
[sorting] 7 8 2 2 2 4 8 5 | 2 2 2 4 5 7 8 8
[copying] HGFNJ | HGFNJHGFNJHGFNJHGFNJ
[reversing] 4 9 8 7 4 6 4 4 8 8 | 8 8 4 4 6 4 7 8 9 4
[reversing] 0 5 5 9 5 4 2 6 5 6 | 6 5 6 2 4 5 9 5 5 0
[reversing] 0 7 9 3 9 4 2 1 0 8 8 5 | 5 8 8 0 1 2 4 9 3 9 7 0
[relations] E705 is parent of E838. Who is the ancestor 1 of E838? | E705
[copying] EVQFF | EVQFFEVQFFEVQFF
[sorting] 5 8 8 8 6 9 4 0 1 5 | 0 1 4 5 5 6 8 8 8 9
[addition] 956 + 54 | 1010
[addition] 42 + 460 | 502
[sorting] 9 0 3 7 2 | 0 2 3 7 9
[addition] 336 + 350 | 686
[addition] 373 + 3 | 376
[addition] 2 + 182 | 184
[relations] E968 is parent of E728. Who is the ancestor 1 of E728? | E968
[sorting] 9 3 8 2 4 8 2 3 | 2 2 3 3 4 8 8 9
[copying] JNFNLU | JNFNLUJNFNLU
[addition] 510 + 1 | 511
[addition] 5 + 75 | 80
[relations] E217 is parent of E488. Who is the ancestor 1 of E488? | E217
[relations] E154 is parent of E942. E942 is parent of E760. Who is the ancestor 2 of E760? | E154
[copying] HDGOT | HDGOTHDGOT
[reversing] 4 2 1 8 0 7 5 0 8 | 8 0 5 7 0 8 1 2 4
[relations] E450 is parent of E288. E288 is parent of E978. Who is the ancestor 2 of E978? | E450
[relations] E840 is parent of E904. Who is the ancestor 1 of E904? | E840
[sorting] 2 0 9 6 7 1 4 9 7 5 4 0 | 0 0 1 2 4 4 5 6 7 7 9 9
[relations] E730 is parent of E148. Who is the ancestor 1 of E148? | E730
[relations] E137 is parent of E638. Who is the ancestor 1 of E638? | E137
[reversing] 0 7 1 | 1 7 0
[copying] XHLG | XHLGXHLGXHLG
[relations] E320 is parent of E514. E514 is parent of E94. Who is the ancestor 2 of E94? | E320
[addition] 3 + 84 | 87
[reversing] 4 1 4 4 3 9 7 | 7 9 3 4 4 1 4
[relations] E316 is parent of E247. Who is the ancestor 1 of E247? | E316
[copying] UHE | UHEUHE
[addition] 58 + 903 | 961
[addition] 167 + 452 | 619
[reversing] 9 5 6 3 2 9 4 | 4 9 2 3 6 5 9
[addition] 52 + 19 | 71
[copying] VHRY | VHRYVHRY
[addition] 56 + 870 | 926
[reversing] 1 3 7 6 8 4 7 1 7 4 | 4 7 1 7 4 8 6 7 3 1
[relations] E551 is parent of E120. E120 is parent of E649. Who is the ancestor 2 of E649? | E551
[sorting] 7 4 1 0 8 | 0 1 4 7 8
[relations] E247 is parent of E466. E466 is parent of E278. Who is the ancestor 2 of E278? | E247
[sorting] 0 3 7 9 1 8 8 5 6 | 0 1 3 5 6 7 8 8 9
[sorting] 8 8 7 0 4 9 9 6 8 | 0 4 6 7 8 8 8 9 9
[addition] 44 + 96 | 140
[copying] VWDT | VWDTVWDTVWDTVWDT
[sorting] 5 5 0 1 4 5 0 8 6 3 6 | 0 0 1 3 4 5 5 5 6 6 8
[addition] 0 + 4 | 4
[addition] 408 + 0 | 408
[addition] 580 + 31 | 611
[sorting] 5 2 6 1 8 5 1 | 1 1 2 5 5 6 8
[addition] 41 + 938 | 979
[copying] XZJG | XZJGXZJGXZJG
[sorting] 9 2 0 8 5 4 6 6 4 2 6 | 0 2 2 4 4 5 6 6 6 8 9
[sorting] 2 2 6 7 7 5 9 1 8 3 3 0 | 0 1 2 2 3 3 5 6 7 7 8 9
[sorting] 5 4 8 0 8 0 9 1 6 | 0 0 1 4 5 6 8 8 9
[relations] E34 is parent of E124. Who is the ancestor 1 of E124? | E34
[sorting] 0 7 6 0 1 1 7 7 1 | 0 0 1 1 1 6 7 7 7
[relations] E735 is parent of E219. E219 is parent of E863. Who is the ancestor 2 of E863? | E735
[copying] UOHN | UOHNUOHNUOHN
[addition] 795 + 1 | 796
[copying] LNXWUH | LNXWUHLNXWUH
[relations] E961 is parent of E539. E539 is parent of E783. Who is the ancestor 2 of E783? | E961
[addition] 98 + 2 | 100
[addition] 44 + 815 | 859
[relations] E808 is parent of E101. Who is the ancestor 1 of E101? | E808
[sorting] 8 8 6 0 9 0 8 5 0 5 | 0 0 0 5 5 6 8 8 8 9
[copying] DD | DDDDDD
[relations] E734 is parent of E240. Who is the ancestor 1 of E240? | E734
[copying] DYV | DYVDYV
[reversing] 6 2 4 3 9 2 | 2 9 3 4 2 6
[relations] E299 is parent of E162. Who is the ancestor 1 of E162? | E299
[copying] BOCYU | BOCYUBOCYUBOCYU
[sorting] 5 9 2 9 0 8 2 5 4 1 3 1 | 0 1 1 2 2 3 4 5 5 8 9 9
[relations] E15 is parent of E917. Who is the ancestor 1 of E917? | E15
[reversing] 7 8 9 0 4 0 1 8 4 3 3 | 3 3 4 8 1 0 4 0 9 8 7
[reversing] 1 5 2 7 1 5 7 2 9 | 9 2 7 5 1 7 2 5 1
[addition] 457 + 3 | 460
[reversing] 6 3 9 4 6 5 1 6 7 4 4 4 | 4 4 4 7 6 1 5 6 4 9 3 6
[copying] LERPKH | LERPKHLERPKH
[sorting] 3 7 9 0 9 7 0 9 0 2 | 0 0 0 2 3 7 7 9 9 9
[reversing] 8 9 9 0 1 6 6 6 5 6 1 1 | 1 1 6 5 6 6 6 1 0 9 9 8
[reversing] 6 3 7 5 4 0 1 9 0 9 8 2 | 2 8 9 0 9 1 0 4 5 7 3 6
[relations] E532 is parent of E271. Who is the ancestor 1 of E271? | E532
[addition] 4 + 872 | 876
[sorting] 8 2 6 9 | 2 6 8 9
[reversing] 1 5 6 7 6 9 2 1 | 1 2 9 6 7 6 5 1
[addition] 24 + 2 | 26
[addition] 903 + 9 | 912
[relations] E422 is parent of E273. E273 is parent of E846. Who is the ancestor 2 of E846? | E422
[relations] E413 is parent of E301. Who is the ancestor 1 of E301? | E413
[relations] E425 is parent of E144. Who is the ancestor 1 of E144? | E425
[addition] 394 + 2260 | 2654
[relations] E799 is parent of E791. Who is the ancestor 1 of E791? | E799
[copying] LUDJSX | LUDJSXLUDJSX
[addition] 950 + 7 | 957
[sorting] 4 9 2 7 5 5 5 1 9 9 | 1 2 4 5 5 5 7 9 9 9
[addition] 83 + 2 | 85
[reversing] 5 1 3 8 6 | 6 8 3 1 5
[addition] 502 + 935 | 1437
[addition] 30 + 273 | 303
[reversing] 9 9 3 9 4 7 4 8 3 9 | 9 3 8 4 7 4 9 3 9 9
[sorting] 2 7 9 7 6 4 | 2 4 6 7 7 9
[addition] 9 + 749 | 758
[copying] IPYLOW | IPYLOWIPYLOWIPYLOWIPYLOW
[addition] 762 + 782 | 1544
[sorting] 5 1 3 1 5 4 6 5 | 1 1 3 4 5 5 5 6
[sorting] 6 2 3 3 0 | 0 2 3 3 6
[relations] E822 is parent of E197. E197 is parent of E903. Who is the ancestor 2 of E903? | E822
[addition] 26 + 805 | 831
[copying] QEI | QEIQEIQEIQEI
[sorting] 2 2 3 9 4 9 7 7 3 | 2 2 3 3 4 7 7 9 9
[addition] 8 + 593 | 601
[addition] 3 + 648 | 651
[addition] 655 + 18 | 673
[addition] 60 + 92 | 152
[reversing] 7 5 4 4 | 4 4 5 7
[copying] MGL | MGLMGLMGLMGL
[relations] E689 is parent of E640. E640 is parent of E960. Who is the ancestor 2 of E960? | E689
[copying] VYBX | VYBXVYBX
[addition] 334 + 283 | 617
[reversing] 7 7 7 7 9 | 9 7 7 7 7
[sorting] 2 8 2 4 2 0 5 2 8 3 5 3 | 0 2 2 2 2 3 3 4 5 5 8 8
[reversing] 0 8 2 | 2 8 0
[sorting] 4 0 5 2 8 9 5 6 0 6 7 | 0 0 2 4 5 5 6 6 7 8 9
[addition] 278 + 5 | 283
[sorting] 3 3 8 1 1 6 6 | 1 1 3 3 6 6 8
[relations] E59 is parent of E994. E994 is parent of E376. Who is the ancestor 2 of E376? | E59
[addition] 694 + 509 | 1203
[addition] 592 + 7 | 599
[reversing] 8 6 7 0 3 0 8 3 0 8 5 2 | 2 5 8 0 3 8 0 3 0 7 6 8
[copying] JK | JKJK
[copying] AGZHBE | AGZHBEAGZHBEAGZHBEAGZHBE
[addition] 583 + 4 | 587
[copying] OSA | OSAOSA
[copying] GZUEI | GZUEIGZUEIGZUEIGZUEI
[sorting] 8 6 1 1 2 5 | 1 1 2 5 6 8
[addition] 943 + 664 | 1607
[sorting] 2 5 7 6 6 9 2 6 7 2 7 | 2 2 2 5 6 6 6 7 7 7 9
[reversing] 9 3 2 2 8 4 | 4 8 2 2 3 9
[addition] 3 + 708 | 711
[reversing] 9 7 4 4 2 1 | 1 2 4 4 7 9
[relations] E486 is parent of E99. Who is the ancestor 1 of E99? | E486
[reversing] 6 0 4 9 | 9 4 0 6
[sorting] 6 1 6 4 1 0 9 3 6 5 | 0 1 1 3 4 5 6 6 6 9
[relations] E587 is parent of E58. Who is the ancestor 1 of E58? | E587
[addition] 5 + 914 | 919
[relations] E387 is parent of E822. E822 is parent of E521. Who is the ancestor 2 of E521? | E387
[addition] 366 + 833 | 1199
[addition] 5 + 401 | 406
[relations] E900 is parent of E685. E685 is parent of E484. Who is the ancestor 2 of E484? | E900
[sorting] 6 5 4 1 9 | 1 4 5 6 9
[addition] 4 + 33 | 37
[copying] ZAUFM | ZAUFMZAUFM
[relations] E100 is parent of E831. E831 is parent of E309. Who is the ancestor 2 of E309? | E100
[sorting] 3 9 6 2 2 | 2 2 3 6 9
[reversing] 3 5 6 7 3 6 6 7 5 0 9 | 9 0 5 7 6 6 3 7 6 5 3
[reversing] 6 0 8 3 | 3 8 0 6
[addition] 76 + 331 | 407
[addition] 16 + 829 | 845
[reversing] 1 0 0 5 0 0 7 6 7 0 4 | 4 0 7 6 7 0 0 5 0 0 1
[reversing] 7 6 0 1 6 8 7 | 7 8 6 1 0 6 7
[sorting] 6 0 7 4 7 6 5 4 | 0 4 4 5 6 6 7 7
[relations] E13 is parent of E304. Who is the ancestor 1 of E304? | E13
[relations] E752 is parent of E976. Who is the ancestor 1 of E976? | E752
[addition] 761 + 6 | 767
[addition] 24160 + 5 | 24165
[relations] E188 is parent of E688. Who is the ancestor 1 of E688? | E188
[relations] E298 is parent of E601. E601 is parent of E571. Who is the ancestor 2 of E571? | E298
[reversing] 5 5 2 | 2 5 5
[sorting] 6 6 6 3 7 | 3 6 6 6 7
[addition] 83 + 38 | 121
[sorting] 1 9 2 8 7 | 1 2 7 8 9
[addition] 379 + 1 | 380
[sorting] 2 1 3 0 9 3 | 0 1 2 3 3 9
[reversing] 5 3 2 6 | 6 2 3 5
[reversing] 0 1 4 0 8 8 2 | 2 8 8 0 4 1 0
[reversing] 0 0 9 9 9 0 4 9 | 9 4 0 9 9 9 0 0
[addition] 822 + 690 | 1512
[sorting] 6 6 0 1 8 3 | 0 1 3 6 6 8
[sorting] 7 2 5 0 2 3 8 2 | 0 2 2 2 3 5 7 8
[relations] E462 is parent of E738. E738 is parent of E541. Who is the ancestor 2 of E541? | E462
[relations] E785 is parent of E799. Who is the ancestor 1 of E799? | E785
[sorting] 9 0 4 7 6 5 9 1 8 5 1 7 | 0 1 1 4 5 5 6 7 7 8 9 9
[sorting] 5 9 6 7 1 4 6 2 3 | 1 2 3 4 5 6 6 7 9
[sorting] 3 3 9 1 5 8 7 5 | 1 3 3 5 5 7 8 9
[copying] OD | ODOD
[relations] E750 is parent of E943. E943 is parent of E407. Who is the ancestor 2 of E407? | E750
[copying] QKOWEJ | QKOWEJQKOWEJQKOWEJ
[reversing] 1 9 0 2 2 5 7 5 6 3 2 | 2 3 6 5 7 5 2 2 0 9 1
[addition] 783 + 3 | 786
[relations] E12 is parent of E600. Who is the ancestor 1 of E600? | E12
[reversing] 9 8 8 2 8 | 8 2 8 8 9
[sorting] 3 1 8 7 7 0 | 0 1 3 7 7 8
[addition] 597 + 28 | 625
[addition] 4 + 67 | 71
[copying] PO | POPO
[copying] BPVMLK | BPVMLKBPVMLK
[relations] E189 is parent of E680. E680 is parent of E702. Who is the ancestor 2 of E702? | E189
[copying] IWU | IWUIWU
[relations] E797 is parent of E586. E586 is parent of E486. Who is the ancestor 2 of E486? | E797
[addition] 59 + 83 | 142
[addition] 8 + 798 | 806
[relations] E106 is parent of E291. E291 is parent of E565. Who is the ancestor 2 of E565? | E106
[sorting] 5 4 1 5 5 6 | 1 4 5 5 5 6
[copying] YI | YIYIYI
[reversing] 2 6 1 7 9 9 7 5 6 9 9 | 9 9 6 5 7 9 9 7 1 6 2
[relations] E706 is parent of E615. Who is the ancestor 1 of E615? | E706
[copying] KA | KAKA
[reversing] 0 4 5 9 1 8 | 8 1 9 5 4 0
[addition] 67 + 1 | 68
